"ID";"Tagnr";"Dato";"Klokke";"Status";"Plottsikkerhet";"Årstall";"Lokalitet";"Art";"Kjønn";"Alder";"Vekt";"Bryst";"Ving 1";"Ving 2";"Dødsårsak";"X-koordinat";"Y-koordinat";"Kondisjon";"Høyde_stripe_kam";"Lengde_stripe_kam";"Frekvens";"organismID";"occurrenceID"
3542;"4272257";8.3.2013 00.00.00;30.12.1899 17.00.00;1;2;2013,00;44,00;"F";2,00;1,00;495,00;67,70;193,00;193,00;;451823,00;7142308,00;25,64;;;152448;"c41b888d-2421-11e7-a02d-c1c81e3148db";"c4dda64d-2421-11e7-a02d-c1c81e3148db"
3543;"4272259";8.3.2013 00.00.00;30.12.1899 13.00.00;5;2;2013,00;44,00;"F";1,00;1,00;525,00;76,40;210,00;210,00;2,00;457898,00;7140081,00;25,00;7,30;29,00;152903;"c41bafba-2421-11e7-a02d-c1c81e3148db";"c4dda64e-2421-11e7-a02d-c1c81e3148db"
3544;"4272260";7.3.2013 00.00.00;30.12.1899 17.00.00;1;2;2013,00;44,00;"F";1,00;1,00;605,00;76,90;206,00;208,00;;451713,00;7142661,00;29,22;7,60;34,20;152268;"c41bafbb-2421-11e7-a02d-c1c81e3148db";"c4ddcd8e-2421-11e7-a02d-c1c81e3148db"
3545;"4272262";8.3.2013 00.00.00;30.12.1899 12.00.00;3;1;2013,00;44,00;"F";2,00;2,00;460,00;71,50;197,00;197,00;2,00;454793,00;7141733,00;23,35;;;152479;"c41bd6de-2421-11e7-a02d-c1c81e3148db";"c4ddcd8f-2421-11e7-a02d-c1c81e3148db"
3546;"4272263";8.3.2013 00.00.00;30.12.1899 10.50.00;1;2;2013,00;44,00;"F";2,00;1,00;515,00;71,10;195,00;196,00;2,00;454883,00;7140861,00;26,34;;;152520;"c41bd6df-2421-11e7-a02d-c1c81e3148db";"c4ddcd90-2421-11e7-a02d-c1c81e3148db"
3547;"4272264";8.3.2013 00.00.00;30.12.1899 10.50.00;1;2;2013,00;44,00;"F";2,00;1,00;490,00;67,00;194,00;195,00;;455868,00;7141013,00;25,19;;;152178;"c41bd6e0-2421-11e7-a02d-c1c81e3148db";"c4ddf368-2421-11e7-a02d-c1c81e3148db"
3548;"4272266";7.3.2013 00.00.00;30.12.1899 17.00.00;1;2;2013,00;44,00;"F";1,00;1,00;605,00;73,90;203,00;203,00;;451418,00;7143658,00;29,80;5,90;27,80;152051;"c41bfe0d-2421-11e7-a02d-c1c81e3148db";"c4ddf369-2421-11e7-a02d-c1c81e3148db"
3549;"4272268";8.3.2013 00.00.00;30.12.1899 14.54.00;3;1;2013,00;44,00;"F";2,00;2,00;420,00;64,70;187,00;189,00;2,00;453042,00;7143410,00;22,34;;;152061;"c41c253a-2421-11e7-a02d-c1c81e3148db";"c4de1bb8-2421-11e7-a02d-c1c81e3148db"
3550;"4272269";8.3.2013 00.00.00;30.12.1899 10.50.00;1;2;2013,00;44,00;"F";1,00;1,00;545,00;74,60;208,00;210,00;;455868,00;7141013,00;26,07;8,40;31,00;152277;"c41c253b-2421-11e7-a02d-c1c81e3148db";"c4de1bb9-2421-11e7-a02d-c1c81e3148db"
3551;"4272271";7.3.2013 00.00.00;30.12.1899 17.00.00;1;2;2013,00;44,00;"F";1,00;1,00;570,00;75,10;210,00;210,00;;451713,00;7142661,00;27,14;8,10;29,00;152044;"c41c4c68-2421-11e7-a02d-c1c81e3148db";"c4de1bba-2421-11e7-a02d-c1c81e3148db"
3552;"4272272";8.3.2013 00.00.00;30.12.1899 10.50.00;1;2;2013,00;44,00;"F";1,00;2,00;525,00;75,60;200,00;200,00;;455868,00;7141013,00;26,25;6,50;27,30;152151;"c41c4c69-2421-11e7-a02d-c1c81e3148db";"c4de42f0-2421-11e7-a02d-c1c81e3148db"
3553;"4272273";7.3.2013 00.00.00;30.12.1899 17.00.00;1;2;2013,00;44,00;"F";1,00;2,00;470,00;71,70;196,00;195,00;;451418,00;7143658,00;24,04;4,00;26,80;152079;"c41c4c6a-2421-11e7-a02d-c1c81e3148db";"c4de42f1-2421-11e7-a02d-c1c81e3148db"
3554;"4272274";7.3.2013 00.00.00;30.12.1899 17.00.00;1;2;2013,00;44,00;"F";2,00;1,00;535,00;69,50;200,00;199,00;;454908,00;7144064,00;26,81;;;152827;"c41c738c-2421-11e7-a02d-c1c81e3148db";"c4de42f2-2421-11e7-a02d-c1c81e3148db"
3555;"4272275";8.3.2013 00.00.00;30.12.1899 18.00.00;1;1;2013,00;44,00;"F";2,00;1,00;485,00;69,40;193,00;192,00;;453416,00;7138921,00;25,19;;;152440;"c41c738d-2421-11e7-a02d-c1c81e3148db";"c4de6a00-2421-11e7-a02d-c1c81e3148db"
3556;"4272277";7.3.2013 00.00.00;30.12.1899 17.00.00;1;2;2013,00;44,00;"F";2,00;2,00;475,00;67,80;190,00;190,00;3,00;452589,00;7141858,00;25,00;;;152088;"c41c9aba-2421-11e7-a02d-c1c81e3148db";"c4de6a01-2421-11e7-a02d-c1c81e3148db"
